NAME                                                                           VERSION                                                           TYPE                            
@babel/plugin-proposal-decorators                                              7.20.13                                                           npm                             
@babel/plugin-proposal-destructuring-private                                   7.18.9                                                            npm                             
@babel/plugin-proposal-do-expressions                                          7.18.6                                                            npm                             
@babel/plugin-proposal-duplicate-named-capturing-groups-regex                  7.20.5                                                            npm                             
@babel/plugin-proposal-dynamic-import                                          7.18.6                                                            npm                             
@babel/plugin-proposal-export-default-from                                     7.18.10                                                           npm                             
@babel/plugin-proposal-export-namespace-from                                   7.18.9                                                            npm                             
@babel/plugin-proposal-function-bind                                           7.18.9                                                            npm                             
@babel/plugin-proposal-function-sent                                           7.18.6                                                            npm                             
@babel/plugin-proposal-json-strings                                            7.18.6                                                            npm                             
@babel/plugin-proposal-logical-assignment-operators                            7.20.7                                                            npm                             
@babel/plugin-proposal-nullish-coalescing-operator                             7.18.6                                                            npm                             
@babel/plugin-proposal-numeric-separator                                       7.18.6                                                            npm                             
@babel/plugin-proposal-object-rest-spread                                      7.20.7                                                            npm                             
@babel/plugin-proposal-optional-catch-binding                                  7.18.6                                                            npm                             
@babel/plugin-proposal-optional-chaining                                       7.20.7                                                            npm                             
@babel/plugin-proposal-partial-application                                     7.18.9                                                            npm                             
@babel/plugin-proposal-pipeline-operator                                       7.18.9                                                            npm                             
@babel/plugin-proposal-private-methods                                         7.18.6                                                            npm                             
@babel/plugin-proposal-private-property-in-object                              7.20.5                                                            npm                             
@babel/plugin-proposal-record-and-tuple                                        7.18.6                                                            npm                             
@babel/plugin-proposal-throw-expressions                                       7.18.6                                                            npm                             
@babel/plugin-proposal-unicode-property-regex                                  7.18.6                                                            npm                             
@babel/plugin-proposal-unicode-sets-regex                                      7.18.6                                                            npm                             
@babel/plugin-syntax-async-do-expressions                                      7.18.6                                                            npm                             
@babel/plugin-syntax-async-generators                                          7.8.4                                                             npm                             
@babel/plugin-syntax-bigint                                                    7.8.3                                                             npm                             
@babel/plugin-syntax-class-properties                                          7.12.13                                                           npm                             
@babel/plugin-syntax-class-static-block                                        7.14.5                                                            npm                             
@babel/plugin-syntax-decimal                                                   7.18.6                                                            npm                             
@babel/plugin-syntax-decorators                                                7.19.0                                                            npm                             
@babel/plugin-syntax-destructuring-private                                     7.18.6                                                            npm                             
@babel/plugin-syntax-do-expressions                                            7.18.6                                                            npm                             
@babel/plugin-syntax-dynamic-import                                            7.8.3                                                             npm                             
@babel/plugin-syntax-explicit-resource-management                              7.20.0                                                            npm                             
@babel/plugin-syntax-export-default-from                                       7.18.6                                                            npm                             
@babel/plugin-syntax-export-namespace-from                                     7.8.3                                                             npm                             
@babel/plugin-syntax-flow                                                      7.18.6                                                            npm                             
@babel/plugin-syntax-function-bind                                             7.18.6                                                            npm                             
@babel/plugin-syntax-function-sent                                             7.18.6                                                            npm                             
@babel/plugin-syntax-import-assertions                                         7.20.0                                                            npm                             
@babel/plugin-syntax-import-meta                                               7.10.4                                                            npm                             
@babel/plugin-syntax-import-reflection                                         7.20.0                                                            npm                             
@babel/plugin-syntax-json-strings                                              7.8.3                                                             npm                             
@babel/plugin-syntax-jsx                                                       7.18.6                                                            npm                             
@babel/plugin-syntax-logical-assignment-operators                              7.10.4                                                            npm                             
@babel/plugin-syntax-module-blocks                                             7.18.6                                                            npm                             
@babel/plugin-syntax-module-string-names                                       7.12.13                                                           npm                             
@babel/plugin-syntax-nullish-coalescing-operator                               7.8.3                                                             npm                             
@babel/plugin-syntax-numeric-separator                                         7.10.4                                                            npm                             
@babel/plugin-syntax-object-rest-spread                                        7.8.3                                                             npm                             
@babel/plugin-syntax-optional-catch-binding                                    7.8.3                                                             npm                             
@babel/plugin-syntax-optional-chaining                                         7.8.3                                                             npm                             
@babel/plugin-syntax-partial-application                                       7.18.6                                                            npm                             
@babel/plugin-syntax-pipeline-operator                                         7.18.6                                                            npm                             
@babel/plugin-syntax-private-property-in-object                                7.14.5                                                            npm                             
@babel/plugin-syntax-record-and-tuple                                          7.18.6                                                            npm                             
@babel/plugin-syntax-throw-expressions                                         7.18.6                                                            npm                             
@babel/plugin-syntax-top-level-await                                           7.14.5                                                            npm                             
@babel/plugin-syntax-typescript                                                7.20.0                                                            npm                             
@babel/plugin-syntax-unicode-sets-regex                                        7.18.6                                                            npm                             
@babel/plugin-transform-arrow-functions                                        7.20.7                                                            npm                             
@babel/plugin-transform-async-to-generator                                     7.20.7                                                            npm                             
@babel/plugin-transform-block-scoped-functions                                 7.18.6                                                            npm                             
@babel/plugin-transform-block-scoping                                          7.20.15                                                           npm                             
@babel/plugin-transform-classes                                                7.20.7                                                            npm                             
@babel/plugin-transform-computed-properties                                    7.20.7                                                            npm                             
@babel/plugin-transform-destructuring                                          7.20.7                                                            npm                             
@babel/plugin-transform-dotall-regex                                           7.18.6                                                            npm                             
@babel/plugin-transform-duplicate-keys                                         7.18.9                                                            npm                             
@babel/plugin-transform-exponentiation-operator                                7.18.6                                                            npm                             
@babel/plugin-transform-flow-comments                                          7.19.0                                                            npm                             
@babel/plugin-transform-flow-strip-types                                       7.19.0                                                            npm                             
@babel/plugin-transform-for-of                                                 7.18.8                                                            npm                             
@babel/plugin-transform-function-name                                          7.18.9                                                            npm                             
@babel/plugin-transform-instanceof                                             7.18.9                                                            npm                             
@babel/plugin-transform-jscript                                                7.20.2                                                            npm                             
@babel/plugin-transform-literals                                               7.18.9                                                            npm                             
@babel/plugin-transform-member-expression-literals                             7.18.6                                                            npm                             
@babel/plugin-transform-modules-amd                                            7.20.11                                                           npm                             
@babel/plugin-transform-modules-commonjs                                       7.20.11                                                           npm                             
@babel/plugin-transform-modules-systemjs                                       7.20.11                                                           npm                             
@babel/plugin-transform-modules-umd                                            7.18.6                                                            npm                             
@babel/plugin-transform-named-capturing-groups-regex                           7.20.5                                                            npm                             
@babel/plugin-transform-new-target                                             7.18.6                                                            npm                             
@babel/plugin-transform-object-assign                                          7.18.6                                                            npm                             
@babel/plugin-transform-object-set-prototype-of-to-assign                      7.18.6                                                            npm                             
@babel/plugin-transform-object-super                                           7.18.6                                                            npm                             
@babel/plugin-transform-parameters                                             7.20.7                                                            npm                             
@babel/plugin-transform-property-literals                                      7.18.6                                                            npm                             
@babel/plugin-transform-property-mutators                                      7.20.7                                                            npm                             
@babel/plugin-transform-proto-to-assign                                        7.20.7                                                            npm                             
@babel/plugin-transform-react-constant-elements                                7.20.2                                                            npm                             
@babel/plugin-transform-react-display-name                                     7.18.6                                                            npm                             
@babel/plugin-transform-react-inline-elements                                  7.18.6                                                            npm                             
@babel/plugin-transform-react-jsx                                              7.20.13                                                           npm                             
@babel/plugin-transform-react-jsx-compat                                       7.18.6                                                            npm                             
@babel/plugin-transform-react-jsx-development                                  7.18.6                                                            npm                             
@babel/plugin-transform-react-jsx-self                                         7.18.6                                                            npm                             
@babel/plugin-transform-react-jsx-source                                       7.19.6                                                            npm                             
@babel/plugin-transform-react-pure-annotations                                 7.18.6                                                            npm                             
@babel/plugin-transform-regenerator                                            7.20.5                                                            npm                             
@babel/plugin-transform-reserved-words                                         7.18.6                                                            npm                             
@babel/plugin-transform-runtime                                                7.19.6                                                            npm                             
@babel/plugin-transform-shorthand-properties                                   7.18.6                                                            npm                             
@babel/plugin-transform-spread                                                 7.20.7                                                            npm                             
@babel/plugin-transform-sticky-regex                                           7.18.6                                                            npm                             
@babel/plugin-transform-strict-mode                                            7.18.6                                                            npm                             
@babel/plugin-transform-template-literals                                      7.18.9                                                            npm                             
@babel/plugin-transform-typeof-symbol                                          7.18.9                                                            npm                             
@babel/plugin-transform-typescript                                             7.20.13                                                           npm                             
@babel/plugin-transform-unicode-escapes                                        7.18.10                                                           npm                             
@babel/plugin-transform-unicode-regex                                          7.18.6                                                            npm                             
@babel/preset-env                                                              7.20.2                                                            npm                             
@babel/preset-flow                                                             7.18.6                                                            npm                             
@babel/preset-modules                                                          0.1.5                                                             npm                             
@babel/preset-react                                                            7.18.6                                                            npm                             
@babel/preset-typescript                                                       7.18.6                                                            npm                             
@babel/register                                                                7.18.9                                                            npm                             
@babel/runtime                                                                 7.20.13                                                           npm                             
@babel/runtime-corejs2                                                         7.20.13                                                           npm                             
@babel/runtime-corejs3                                                         7.20.13                                                           npm                             
@babel/template                                                                7.20.7                                                            npm                             
@babel/traverse                                                                7.20.13                                                           npm                             
@babel/types                                                                   7.20.7                                                            npm                             
@bcoe/v8-coverage                                                              0.2.3                                                             npm                             
@colors/colors                                                                 1.5.0                                                             npm                             
@discoveryjs/json-ext                                                          0.5.7                                                             npm                             
@fastify/busboy                                                                2.0.0                                                             npm                             
@gar/promisify                                                                 1.1.3                                                             npm                             
@isaacs/import-jsx                                                             4.0.1                                                             npm                             
@isaacs/string-locale-compare                                                  1.1.0                                                             npm                             
@istanbuljs/load-nyc-config                                                    1.1.0                                                             npm                             
@istanbuljs/schema                                                             0.1.3                                                             npm                             
@jest/schemas                                                                  29.6.0                                                            npm                             
@jest/types                                                                    29.6.1                                                            npm                             
@jridgewell/gen-mapping                                                        0.3.2                                                             npm                             
@jridgewell/resolve-uri                                                        3.1.0                                                             npm                             
@jridgewell/set-array                                                          1.1.2                                                             npm                             
@jridgewell/source-map                                                         0.3.2                                                             npm                             
@jridgewell/sourcemap-codec                                                    1.4.14                                                            npm                             
@jridgewell/trace-mapping                                                      0.3.17                                                            npm                             
@jupyter-widgets/base                                                          6.0.6                                                             npm                             
@jupyter-widgets/base-manager                                                  1.0.7                                                             npm                             
@jupyter-widgets/controls                                                      5.0.7                                                             npm                             
@jupyter-widgets/example-web1                                                  8.0.8                                                             npm                             
@jupyter-widgets/example-web2                                                  8.0.8                                                             npm                             
@jupyter-widgets/example-web3                                                  8.0.9                                                             npm                             
@jupyter-widgets/example-web4                                                  8.0.9                                                             npm                             
@jupyter-widgets/html-manager                                                  1.0.9                                                             npm                             
@jupyter-widgets/jupyterlab-manager                                            5.0.9                                                             npm                             
@jupyter-widgets/notebook-manager                                              8.0.9                                                             npm                             
@jupyter-widgets/output                                                        6.0.6                                                             npm                             
@jupyter-widgets/schema                                                        0.5.3                                                             npm                             
@nodelib/fs.macchiato                                                          1.0.4                                                             npm                             
@nodelib/fs.scandir                                                            2.1.5                                                             npm                             
@nodelib/fs.stat                                                               2.0.5                                                             npm                             
@nodelib/fs.walk                                                               1.2.8                                                             npm                             
@npmcli/arborist                                                               6.1.5                                                             npm                             
@npmcli/config                                                                 6.1.0                                                             npm                             
@npmcli/disparity-colors                                                       3.0.0                                                             npm                             
@npmcli/fs                                                                     3.1.0                                                             npm                             
@npmcli/git                                                                    4.0.3                                                             npm                             
@npmcli/installed-package-contents                                             2.0.1                                                             npm                             
@npmcli/map-workspaces                                                         3.0.0                                                             npm                             
@npmcli/metavuln-calculator                                                    5.0.0                                                             npm                             
@npmcli/mock-registry                                                          1.0.0                                                             npm                             
@npmcli/move-file                                                              3.0.0                                                             npm                             
@npmcli/name-from-folder                                                       1.0.1                                                             npm                             
@npmcli/node-gyp                                                               3.0.0                                                             npm                             
@npmcli/package-json                                                           3.0.0                                                             npm                             
@npmcli/promise-spawn                                                          6.0.1                                                             npm                             
@npmcli/query                                                                  3.0.0                                                             npm                             
@npmcli/run-script                                                             6.0.0                                                             npm                             
@npmcli/smoke-tests                                                            1.0.0                                                             npm                             
@oven/bun-linux-x64                                                            1.2.22                                                            npm                             
@oven/bun-linux-x64-baseline                                                   1.2.22                                                            npm                             
@oven/bun-linux-x64-musl                                                       1.2.22                                                            npm                             
@oven/bun-linux-x64-musl-baseline                                              1.2.22                                                            npm                             
@sellside/emitter                                                              1.2.1                                                             npm                             
@sindresorhus/is                                                               4.6.0                                                             npm                             
@szmarczak/http-timer                                                          4.0.6                                                             npm                             
@types/abbrev                                                                  1.1.2                                                             npm                             
@types/are-we-there-yet                                                        1.1.0                                                             npm                             
@types/assert                                                                  1.5.6                                                             npm                             
@types/babel-types                                                             7.0.11                                                            npm                             
@types/babel__code-frame                                                       7.0.3                                                             npm                             
@types/babel__core                                                             7.20.0                                                            npm                             
@types/babel__generator                                                        7.6.4                                                             npm                             
@types/babel__preset-env                                                       7.9.2                                                             npm                             
@types/babel__template                                                         7.4.1                                                             npm                             
@types/babel__traverse                                                         7.18.3                                                            npm                             
@types/base64-js                                                               1.3.0                                                             npm                             
@types/brace-expansion                                                         1.1.0                                                             npm                             
